"","number","color"
"6140",10,"Blue"
"6141",1,"Blue"
"6142",2,"Black"
"6143",3,"Blue"
"6144",4,"Red"
"6145",5,"Blue"
"6146",6,"Red"
"6147",7,"Blue"
"6148",8,"Black"
"6149",9,"Red"
"6150",10,"Blue"
"6151",1,"Red"
"6152",2,"Black"
"6153",3,"Blue"
"6154",4,"Blue"
"6155",5,"Red"
"6156",6,"Black"
"6157",7,"Blue"
"6158",8,"Red"
"6159",9,"Red"
"6160",10,"Red"
"6161",1,"Blue"
"6162",2,"Black"
"6163",3,"Black"
"6164",4,"Blue"
"6165",5,"Red"
"6166",6,"Blue"
"6167",7,"Black"
"6168",8,"Black"
"6169",9,"Black"
"6170",10,"Blue"
"6171",1,"Red"
"6172",2,"Blue"
"6173",3,"Red"
"6174",4,"Blue"
"6175",5,"Black"
"6176",6,"Black"
"6177",7,"Red"
"6178",8,"Black"
"6179",9,"Black"
"6180",10,"Black"
"6181",1,"Black"
"6182",2,"Black"
"6183",3,"Black"
"6184",4,"Black"
"6185",5,"Blue"
"6186",6,"Blue"
"6187",7,"Blue"
"6188",8,"Black"
"6189",9,"Blue"
"6190",10,"Blue"
"6191",1,"Black"
"6192",2,"Red"
"6193",3,"Blue"
"6194",4,"Black"
"6195",5,"Blue"
"6196",6,"Red"
"6197",7,"Black"
"6198",8,"Red"
"6199",9,"Black"
"6200",10,"Red"
"6201",1,"Red"
"6202",2,"Blue"
"6203",3,"Black"
"6204",4,"Red"
"6205",5,"Red"
"6206",6,"Red"
"6207",7,"Red"
"6208",8,"Blue"
"6209",9,"Red"
"6210",10,"Blue"
"6211",1,"Black"
"6212",2,"Black"
"6213",3,"Red"
"6214",4,"Red"
"6215",5,"Blue"
"6216",6,"Blue"
"6217",7,"Black"
"6218",8,"Red"
"6219",9,"Red"
"6220",10,"Red"
"6221",1,"Blue"
"6222",2,"Black"
"6223",3,"Black"
"6224",4,"Black"
"6225",5,"Black"
"6226",6,"Red"
"6227",7,"Black"
"6228",8,"Blue"
"6229",9,"Blue"
"6230",10,"Black"
"6231",1,"Blue"
"6232",2,"Black"
"6233",3,"Black"
"6234",4,"Black"
"6235",5,"Blue"
"6236",6,"Blue"
"6237",7,"Black"
"6238",8,"Blue"
"6239",9,"Red"
"6240",10,"Red"
"6241",1,"Black"
"6242",2,"Red"
"6243",3,"Black"
"6244",4,"Black"
"6245",5,"Black"
"6246",6,"Blue"
"6247",7,"Black"
"6248",8,"Black"
"6249",9,"Red"
"6250",10,"Blue"
"6251",1,"Black"
"6252",2,"Red"
"6253",3,"Black"
"6254",4,"Blue"
"6255",5,"Blue"
"6256",6,"Blue"
"6257",7,"Black"
"6258",8,"Red"
"6259",9,"Blue"
"6260",10,"Black"
"6261",1,"Black"
"6262",2,"Blue"
"6263",3,"Black"
"6264",4,"Black"
"6265",5,"Black"
"6266",6,"Black"
"6267",7,"Black"
"6268",8,"Black"
"6269",9,"Blue"
"6270",10,"Red"
"6271",1,"Black"
"6272",2,"Black"
"6273",3,"Black"
"6274",4,"Red"
"6275",5,"Red"
"6276",6,"Red"
"6277",7,"Red"
"6278",8,"Blue"
"6279",9,"Black"
"6280",10,"Blue"
"6281",1,"Red"
"6282",2,"Blue"
"6283",3,"Black"
"6284",4,"Red"
"6285",5,"Black"
"6286",6,"Blue"
"6287",7,"Blue"
"6288",8,"Black"
"6289",9,"Blue"
"6290",10,"Blue"
"6291",1,"Blue"
"6292",2,"Red"
"6293",3,"Blue"
"6294",4,"Blue"
"6295",5,"Blue"
"6296",6,"Blue"
"6297",7,"Red"
"6298",8,"Black"
"6299",9,"Black"
"6300",10,"Red"
"6301",1,"Red"
"6302",2,"Black"
"6303",3,"Black"
"6304",4,"Black"
"6305",5,"Red"
"6306",6,"Red"
"6307",7,"Red"
"6308",8,"Black"
"6309",9,"Black"
"6310",10,"Red"
"6311",1,"Black"
"6312",2,"Red"
"6313",3,"Black"
"6314",4,"Black"
"6315",5,"Black"
"6316",6,"Blue"
"6317",7,"Red"
"6318",8,"Red"
"6319",9,"Blue"
"6320",10,"Blue"
"6321",1,"Black"
"6322",2,"Red"
"6323",3,"Blue"
"6324",4,"Black"
"6325",5,"Black"
"6326",6,"Red"
"6327",7,"Black"
"6328",8,"Black"
"6329",9,"Red"
"6330",10,"Black"
"6331",1,"Red"
"6332",2,"Black"
"6333",3,"Black"
"6334",4,"Red"
"6335",5,"Red"
"6336",6,"Red"
"6337",7,"Black"
"6338",8,"Red"
"6339",9,"Black"
"6340",10,"Black"
"6341",1,"Red"
"6342",2,"Red"
"6343",3,"Black"
"6344",4,"Blue"
"6345",5,"Blue"
"6346",6,"Black"
"6347",7,"Black"
"6348",8,"Red"
"6349",9,"Black"
"6350",10,"Red"
"6351",1,"Blue"
"6352",2,"Black"
"6353",3,"Black"
"6354",4,"Black"
"6355",5,"Black"
"6356",6,"Blue"
"6357",7,"Red"
"6358",8,"Blue"
"6359",9,"Black"
"6360",10,"Black"
"6361",1,"Black"
"6362",2,"Black"
"6363",3,"Red"
"6364",4,"Red"
"6365",5,"Blue"
"6366",6,"Red"
"6367",7,"Black"
"6368",8,"Blue"
"6369",9,"Blue"
"6370",10,"Red"
"6371",1,"Blue"
"6372",2,"Black"
"6373",3,"Black"
"6374",4,"Black"
"6375",5,"Black"
"6376",6,"Red"
"6377",7,"Blue"
"6378",8,"Blue"
"6379",9,"Red"
"6380",10,"Blue"
"6381",1,"Black"
"6382",2,"Black"
"6383",3,"Red"
"6384",4,"Blue"
"6385",5,"Black"
"6386",6,"Black"
"6387",7,"Red"
"6388",8,"Black"
"6389",9,"Red"
"6390",10,"Red"
"6391",1,"Black"
"6392",2,"Black"
"6393",3,"Blue"
"6394",4,"Black"
"6395",5,"Black"
"6396",6,"Black"
"6397",7,"Black"
"6398",8,"Black"
"6399",9,"Blue"
"6400",10,"Black"
"6401",1,"Black"
"6402",2,"Red"
"6403",3,"Red"
"6404",4,"Black"
"6405",5,"Red"
"6406",6,"Red"
"6407",7,"Blue"
"6408",8,"Red"
"6409",9,"Black"
"6410",10,"Black"
"6411",1,"Red"
"6412",2,"Blue"
"6413",3,"Blue"
"6414",4,"Black"
"6415",5,"Red"
"6416",6,"Red"
"6417",7,"Blue"
"6418",8,"Blue"
"6419",9,"Red"
"6420",10,"Black"
"6421",1,"Black"
"6422",2,"Blue"
"6423",3,"Red"
"6424",4,"Blue"
"6425",5,"Red"
"6426",6,"Black"
"6427",7,"Red"
"6428",8,"Red"
"6429",9,"Red"
"6430",10,"Red"
"6431",1,"Red"
"6432",2,"Black"
"6433",3,"Red"
"6434",4,"Blue"
"6435",5,"Red"
"6436",6,"Black"
"6437",7,"Black"
"6438",8,"Black"
"6439",9,"Red"
"6440",10,"Red"
"6441",1,"Red"
"6442",2,"Blue"
"6443",3,"Black"
"6444",4,"Blue"
"6445",5,"Red"
"6446",6,"Black"
"6447",7,"Black"
"6448",8,"Red"
"6449",9,"Black"
"6450",10,"Blue"
"6451",1,"Blue"
"6452",2,"Blue"
"6453",3,"Black"
"6454",4,"Black"
"6455",5,"Black"
"6456",6,"Black"
"6457",7,"Red"
"6458",8,"Black"
"6459",9,"Blue"
"6460",10,"Black"
"6461",1,"Red"
"6462",2,"Black"
"6463",3,"Blue"
"6464",4,"Blue"
"6465",5,"Black"
"6466",6,"Black"
"6467",7,"Black"
"6468",8,"Red"
"6469",9,"Blue"
"6470",10,"Blue"
"6471",1,"Black"
"6472",2,"Blue"
"6473",3,"Red"
"6474",4,"Black"
"6475",5,"Blue"
"6476",6,"Blue"
"6477",7,"Black"
"6478",8,"Blue"
"6479",9,"Black"
"6480",10,"Blue"
"6481",1,"Red"
"6482",2,"Blue"
"6483",3,"Black"
"6484",4,"Black"
"6485",5,"Black"
"6486",6,"Blue"
"6487",7,"Red"
"6488",8,"Black"
"6489",9,"Blue"
"6490",10,"Black"
"6491",1,"Black"
"6492",2,"Blue"
"6493",3,"Blue"
"6494",4,"Red"
"6495",5,"Blue"
"6496",6,"Blue"
"6497",7,"Black"
"6498",8,"Black"
"6499",9,"Blue"
"6500",10,"Blue"
"6501",1,"Black"
"6502",2,"Red"
"6503",3,"Black"
"6504",4,"Black"
"6505",5,"Red"
"6506",6,"Blue"
"6507",7,"Black"
"6508",8,"Blue"
"6509",9,"Black"
"6510",10,"Black"
"6511",1,"Black"
"6512",2,"Black"
"6513",3,"Black"
"6514",4,"Red"
"6515",5,"Black"
"6516",6,"Red"
"6517",7,"Black"
"6518",8,"Black"
"6519",9,"Red"
"6520",10,"Red"
"6521",1,"Blue"
"6522",2,"Black"
"6523",3,"Blue"
"6524",4,"Black"
"6525",5,"Blue"
"6526",6,"Blue"
"6527",7,"Black"
"6528",8,"Blue"
"6529",9,"Black"
"6530",10,"Blue"
"6531",1,"Red"
"6532",2,"Black"
"6533",3,"Black"
"6534",4,"Black"
"6535",5,"Black"
"6536",6,"Blue"
"6537",7,"Black"
"6538",8,"Black"
"6539",9,"Red"
"6540",10,"Red"
"6541",1,"Red"
"6542",2,"Red"
"6543",3,"Red"
"6544",4,"Black"
"6545",5,"Blue"
"6546",6,"Red"
"6547",7,"Blue"
"6548",8,"Red"
"6549",9,"Blue"
"6550",10,"Black"
"6551",1,"Black"
"6552",2,"Red"
"6553",3,"Blue"
"6554",4,"Black"
"6555",5,"Black"
"6556",6,"Blue"
"6557",7,"Black"
"6558",8,"Black"
"6559",9,"Red"
"6560",10,"Blue"
"6561",1,"Red"
"6562",2,"Red"
"6563",3,"Red"
"6564",4,"Blue"
"6565",5,"Blue"
"6566",6,"Black"
"6567",7,"Blue"
"6568",8,"Red"
"6569",9,"Black"
"6570",10,"Black"
"6571",1,"Blue"
"6572",2,"Red"
"6573",3,"Red"
"6574",4,"Red"
"6575",5,"Blue"
"6576",6,"Blue"
"6577",7,"Red"
"6578",8,"Black"
"6579",9,"Blue"
"6580",10,"Black"
"6581",1,"Blue"
"6582",2,"Black"
"6583",3,"Red"
"6584",4,"Black"
"6585",5,"Blue"
"6586",6,"Black"
"6587",7,"Black"
"6588",8,"Blue"
"6589",9,"Black"
"6590",10,"Blue"
"6591",1,"Black"
"6592",2,"Black"
"6593",3,"Blue"
"6594",4,"Red"
"6595",5,"Black"
"6596",6,"Black"
"6597",7,"Blue"
"6598",8,"Black"
"6599",9,"Red"
"6600",10,"Black"
"6601",1,"Black"
"6602",2,"Black"
"6603",3,"Black"
"6604",4,"Red"
"6605",5,"Black"
"6606",6,"Red"
"6607",7,"Red"
"6608",8,"Black"
"6609",9,"Blue"
"6610",10,"Black"
"6611",1,"Blue"
"6612",2,"Black"
"6613",3,"Red"
"6614",4,"Blue"
"6615",5,"Black"
"6616",6,"Blue"
"6617",7,"Red"
"6618",8,"Black"
"6619",9,"Black"
"6620",10,"Black"
"6621",1,"Blue"
"6622",2,"Black"
"6623",3,"Red"
"6624",4,"Red"
"6625",5,"Red"
"6626",6,"Black"
"6627",7,"Black"
"6628",8,"Black"
"6629",9,"Black"
"6630",10,"Blue"
"6631",1,"Black"
"6632",2,"Red"
"6633",3,"Blue"
"6634",4,"Black"
"6635",5,"Black"
"6636",6,"Black"
"6637",7,"Red"
"6638",8,"Red"
"6639",9,"Blue"
"6640",10,"Black"
"6641",1,"Black"
"6642",2,"Red"
"6643",3,"Red"
"6644",4,"Black"
"6645",5,"Blue"
"6646",6,"Blue"
"6647",7,"Red"
"6648",8,"Black"
"6649",9,"Red"
"6650",10,"Blue"
"6651",1,"Red"
"6652",2,"Blue"
"6653",3,"Red"
"6654",4,"Black"
"6655",5,"Black"
"6656",6,"Blue"
"6657",7,"Black"
"6658",8,"Blue"
"6659",9,"Red"
"6660",10,"Red"
"6661",1,"Black"
"6662",2,"Black"
"6663",3,"Black"
"6664",4,"Red"
"6665",5,"Blue"
"6666",6,"Red"
"6667",7,"Red"
"6668",8,"Black"
"6669",9,"Red"
"6670",10,"Black"
"6671",1,"Black"
"6672",2,"Red"
"6673",3,"Blue"
"6674",4,"Blue"
"6675",5,"Black"
"6676",6,"Black"
"6677",7,"Red"
"6678",8,"Black"
"6679",9,"Black"
"6680",10,"Red"
"6681",1,"Red"
"6682",2,"Blue"
"6683",3,"Black"
"6684",4,"Red"
"6685",5,"Red"
"6686",6,"Black"
"6687",7,"Black"
"6688",8,"Red"
"6689",9,"Blue"
"6690",10,"Black"
"6691",1,"Red"
"6692",2,"Black"
"6693",3,"Red"
"6694",4,"Black"
"6695",5,"Black"
"6696",6,"Blue"
"6697",7,"Black"
"6698",8,"Black"
"6699",9,"Black"
"6700",10,"Red"
"6701",1,"Blue"
"6702",2,"Black"
"6703",3,"Blue"
"6704",4,"Blue"
"6705",5,"Black"
"6706",6,"Blue"
"6707",7,"Blue"
"6708",8,"Black"
"6709",9,"Black"
"6710",10,"Black"
"6711",1,"Black"
"6712",2,"Black"
"6713",3,"Red"
"6714",4,"Black"
"6715",5,"Blue"
"6716",6,"Black"
"6717",7,"Red"
"6718",8,"Blue"
"6719",9,"Red"
"6720",10,"Black"
"6721",1,"Black"
"6722",2,"Red"
"6723",3,"Blue"
"6724",4,"Red"
"6725",5,"Blue"
"6726",6,"Black"
"6727",7,"Red"
"6728",8,"Red"
"6729",9,"Black"
"6730",10,"Red"
"6731",1,"Blue"
"6732",2,"Blue"
"6733",3,"Blue"
"6734",4,"Black"
"6735",5,"Blue"
"6736",6,"Blue"
"6737",7,"Black"
"6738",8,"Red"
"6739",9,"Red"
"6740",10,"Black"
"6741",1,"Black"
"6742",2,"Blue"
"6743",3,"Black"
"6744",4,"Red"
"6745",5,"Blue"
"6746",6,"Red"
"6747",7,"Blue"
"6748",8,"Blue"
"6749",9,"Black"
"6750",10,"Red"
"6751",1,"Blue"
"6752",2,"Blue"
"6753",3,"Black"
"6754",4,"Black"
"6755",5,"Red"
"6756",6,"Black"
"6757",7,"Black"
"6758",8,"Red"
"6759",9,"Black"
"6760",10,"Red"
"6761",1,"Blue"
"6762",2,"Red"
"6763",3,"Black"
"6764",4,"Red"
"6765",5,"Blue"
"6766",6,"Blue"
"6767",7,"Black"
"6768",8,"Blue"
"6769",9,"Black"
"6770",10,"Blue"
"6771",1,"Black"
"6772",2,"Blue"
"6773",3,"Black"
"6774",4,"Red"
"6775",5,"Red"
"6776",6,"Black"
"6777",7,"Red"
"6778",8,"Red"
"6779",9,"Red"
"6780",10,"Black"
"6781",1,"Blue"
"6782",2,"Black"
"6783",3,"Blue"
"6784",4,"Red"
"6785",5,"Blue"
"6786",6,"Black"
"6787",7,"Black"
"6788",8,"Red"
"6789",9,"Blue"
"6790",10,"Blue"
"6791",1,"Red"
"6792",2,"Blue"
"6793",3,"Red"
"6794",4,"Black"
"6795",5,"Red"
"6796",6,"Red"
"6797",7,"Black"
"6798",8,"Red"
"6799",9,"Blue"
"6800",10,"Black"
"6801",1,"Blue"
"6802",2,"Black"
"6803",3,"Black"
"6804",4,"Red"
"6805",5,"Black"
"6806",6,"Red"
"6807",7,"Black"
"6808",8,"Black"
"6809",9,"Blue"
"6810",10,"Blue"
"6811",1,"Red"
"6812",2,"Black"
"6813",3,"Red"
"6814",4,"Red"
"6815",5,"Black"
"6816",6,"Blue"
"6817",7,"Red"
"6818",8,"Black"
"6819",9,"Black"
"6820",10,"Blue"
"6821",1,"Red"
"6822",2,"Black"
"6823",3,"Black"
"6824",4,"Red"
"6825",5,"Black"
"6826",6,"Red"
"6827",7,"Blue"
"6828",8,"Black"
"6829",9,"Black"
"6830",10,"Red"
"6831",1,"Red"
"6832",2,"Red"
"6833",3,"Black"
"6834",4,"Red"
"6835",5,"Blue"
"6836",6,"Red"
"6837",7,"Red"
"6838",8,"Red"
"6839",9,"Black"
"6840",10,"Black"
"6841",1,"Blue"
"6842",2,"Black"
"6843",3,"Black"
"6844",4,"Blue"
"6845",5,"Black"
"6846",6,"Red"
"6847",7,"Black"
"6848",8,"Blue"
"6849",9,"Black"
"6850",10,"Black"
"6851",1,"Blue"
"6852",2,"Blue"
"6853",3,"Blue"
"6854",4,"Blue"
"6855",5,"Black"
"6856",6,"Red"
"6857",7,"Blue"
"6858",8,"Black"
"6859",9,"Black"
"6860",10,"Red"
"6861",1,"Red"
"6862",2,"Blue"
"6863",3,"Black"
"6864",4,"Blue"
"6865",5,"Blue"
"6866",6,"Black"
"6867",7,"Blue"
"6868",8,"Blue"
"6869",9,"Black"
"6870",10,"Black"
"6871",1,"Red"
"6872",2,"Blue"
"6873",3,"Blue"
"6874",4,"Black"
"6875",5,"Blue"
"6876",6,"Blue"
"6877",7,"Red"
"6878",8,"Red"
"6879",9,"Red"
"6880",10,"Black"
"6881",1,"Red"
"6882",2,"Black"
"6883",3,"Red"
"6884",4,"Blue"
"6885",5,"Black"
"6886",6,"Black"
"6887",7,"Red"
"6888",8,"Black"
"6889",9,"Black"
"6890",10,"Black"
"6891",1,"Black"
"6892",2,"Red"
"6893",3,"Black"
"6894",4,"Blue"
"6895",5,"Black"
"6896",6,"Black"
"6897",7,"Blue"
"6898",8,"Black"
"6899",9,"Red"
"6900",10,"Red"
"6901",1,"Black"
"6902",2,"Blue"
"6903",3,"Blue"
"6904",4,"Black"
"6905",5,"Red"
"6906",6,"Red"
"6907",7,"Blue"
"6908",8,"Blue"
"6909",9,"Black"
"6910",10,"Blue"
"6911",1,"Black"
"6912",2,"Black"
"6913",3,"Black"
"6914",4,"Black"
"6915",5,"Blue"
"6916",6,"Black"
"6917",7,"Red"
"6918",8,"Red"
"6919",9,"Black"
"6920",10,"Black"
"6921",1,"Red"
"6922",2,"Black"
"6923",3,"Black"
"6924",4,"Blue"
"6925",5,"Black"
"6926",6,"Blue"
"6927",7,"Blue"
"6928",8,"Blue"
"6929",9,"Black"
"6930",10,"Red"
"6931",1,"Blue"
"6932",2,"Red"
"6933",3,"Red"
"6934",4,"Red"
"6935",5,"Red"
"6936",6,"Red"
"6937",7,"Red"
"6938",8,"Red"
"6939",9,"Black"
"6940",10,"Black"
"6941",1,"Black"
"6942",2,"Red"
"6943",3,"Black"
"6944",4,"Blue"
"6945",5,"Red"
"6946",6,"Red"
"6947",7,"Black"
"6948",8,"Black"
"6949",9,"Black"
"6950",10,"Red"
"6951",1,"Red"
"6952",2,"Red"
"6953",3,"Red"
"6954",4,"Blue"
"6955",5,"Blue"
"6956",6,"Black"
"6957",7,"Red"
"6958",8,"Red"
"6959",9,"Black"
"6960",10,"Blue"
"6961",1,"Blue"
"6962",2,"Blue"
"6963",3,"Blue"
"6964",4,"Black"
"6965",5,"Black"
"6966",6,"Blue"
"6967",7,"Black"
"6968",8,"Blue"
"6969",9,"Blue"
"6970",10,"Blue"
"6971",1,"Red"
"6972",2,"Red"
"6973",3,"Blue"
"6974",4,"Blue"
"6975",5,"Red"
"6976",6,"Red"
"6977",7,"Black"
"6978",8,"Blue"
"6979",9,"Black"
"6980",10,"Red"
"6981",1,"Blue"
"6982",2,"Black"
"6983",3,"Blue"
"6984",4,"Red"
"6985",5,"Red"
"6986",6,"Blue"
"6987",7,"Blue"
"6988",8,"Red"
"6989",9,"Red"
"6990",10,"Black"
"6991",1,"Blue"
"6992",2,"Red"
"6993",3,"Black"
"6994",4,"Blue"
"6995",5,"Blue"
"6996",6,"Red"
"6997",7,"Black"
"6998",8,"Blue"
"6999",9,"Black"
"7000",10,"Red"
"7001",1,"Blue"
"7002",2,"Red"
"7003",3,"Black"
"7004",4,"Black"
"7005",5,"Blue"
"7006",6,"Red"
"7007",7,"Blue"
"7008",8,"Blue"
"7009",9,"Blue"
"7010",10,"Black"
"7011",1,"Black"
"7012",2,"Black"
"7013",3,"Red"
"7014",4,"Red"
"7015",5,"Red"
"7016",6,"Red"
"7017",7,"Black"
"7018",8,"Blue"
"7019",9,"Blue"
"7020",10,"Black"
"7021",1,"Black"
"7022",2,"Blue"
"7023",3,"Blue"
"7024",4,"Blue"
"7025",5,"Red"
"7026",6,"Blue"
"7027",7,"Blue"
"7028",8,"Red"
"7029",9,"Blue"
"7030",10,"Blue"
"7031",1,"Red"
"7032",2,"Red"
"7033",3,"Black"
"7034",4,"Red"
"7035",5,"Red"
"7036",6,"Black"
"7037",7,"Blue"
"7038",8,"Black"
"7039",9,"Black"
"7040",10,"Red"
"7041",1,"Blue"
"7042",2,"Red"
"7043",3,"Black"
"7044",4,"Black"
"7045",5,"Red"
"7046",6,"Blue"
"7047",7,"Blue"
"7048",8,"Red"
"7049",9,"Black"
"7050",10,"Blue"
"7051",1,"Red"
"7052",2,"Blue"
"7053",3,"Black"
"7054",4,"Red"
"7055",5,"Red"
"7056",6,"Red"
"7057",7,"Black"
"7058",8,"Black"
"7059",9,"Red"
"7060",10,"Red"
"7061",1,"Blue"
"7062",2,"Red"
"7063",3,"Red"
"7064",4,"Red"
"7065",5,"Blue"
"7066",6,"Red"
"7067",7,"Black"
"7068",8,"Blue"
"7069",9,"Blue"
"7070",10,"Black"
"7071",1,"Blue"
"7072",2,"Blue"
"7073",3,"Red"
"7074",4,"Blue"
"7075",5,"Black"
"7076",6,"Red"
"7077",7,"Black"
"7078",8,"Red"
"7079",9,"Black"
"7080",10,"Black"
"7081",1,"Red"
"7082",2,"Black"
"7083",3,"Black"
"7084",4,"Blue"
"7085",5,"Red"
"7086",6,"Black"
"7087",7,"Red"
"7088",8,"Blue"
"7089",9,"Blue"
"7090",10,"Black"
"7091",1,"Red"
"7092",2,"Red"
"7093",3,"Blue"
"7094",4,"Red"
"7095",5,"Black"
"7096",6,"Black"
"7097",7,"Black"
"7098",8,"Blue"
"7099",9,"Black"
"7100",10,"Black"
"7101",1,"Red"
"7102",2,"Red"
"7103",3,"Red"
"7104",4,"Black"
"7105",5,"Red"
"7106",6,"Blue"
"7107",7,"Blue"
"7108",8,"Blue"
"7109",9,"Black"
"7110",10,"Black"
"7111",1,"Black"
"7112",2,"Blue"
"7113",3,"Black"
"7114",4,"Black"
"7115",5,"Black"
"7116",6,"Blue"
"7117",7,"Black"
"7118",8,"Red"
"7119",9,"Blue"
"7120",10,"Red"
"7121",1,"Black"
"7122",2,"Red"
"7123",3,"Blue"
"7124",4,"Black"
"7125",5,"Black"
"7126",6,"Blue"
"7127",7,"Red"
"7128",8,"Black"
"7129",9,"Red"
"7130",10,"Blue"
"7131",1,"Red"
"7132",2,"Black"
"7133",3,"Blue"
"7134",4,"Blue"
"7135",5,"Red"
"7136",6,"Black"
"7137",7,"Black"
"7138",8,"Black"
"7139",9,"Black"
"7140",10,"Blue"
"7141",1,"Black"
"7142",2,"Blue"
"7143",3,"Red"
"7144",4,"Blue"
"7145",5,"Blue"
"7146",6,"Blue"
"7147",7,"Red"
"7148",8,"Blue"
"7149",9,"Blue"
"7150",10,"Black"
"7151",1,"Black"
"7152",2,"Black"
"7153",3,"Blue"
"7154",4,"Black"
"7155",5,"Blue"
"7156",6,"Blue"
"7157",7,"Red"
"7158",8,"Red"
"7159",9,"Black"
"7160",10,"Blue"
"7161",1,"Blue"
"7162",2,"Black"
"7163",3,"Blue"
"7164",4,"Black"
"7165",5,"Blue"
"7166",6,"Black"
"7167",7,"Black"
"7168",8,"Red"
"7169",9,"Red"
"7170",10,"Blue"
"7171",1,"Black"
"7172",2,"Red"
"7173",3,"Red"
"7174",4,"Red"
"7175",5,"Black"
"7176",6,"Black"
"7177",7,"Red"
"7178",8,"Red"
"7179",9,"Red"
"7180",10,"Black"
"7181",1,"Blue"
"7182",2,"Red"
"7183",3,"Black"
"7184",4,"Blue"
"7185",5,"Blue"
"7186",6,"Red"
"7187",7,"Black"
"7188",8,"Blue"
"7189",9,"Red"
"7190",10,"Black"
"7191",1,"Black"
"7192",2,"Red"
"7193",3,"Black"
"7194",4,"Red"
"7195",5,"Blue"
"7196",6,"Black"
"7197",7,"Blue"
"7198",8,"Black"
"7199",9,"Black"
"7200",10,"Red"
"7201",1,"Blue"
"7202",2,"Red"
"7203",3,"Black"
"7204",4,"Red"
"7205",5,"Black"
"7206",6,"Blue"
"7207",7,"Black"
"7208",8,"Red"
"7209",9,"Blue"
"7210",10,"Black"
"7211",1,"Red"
"7212",2,"Red"
"7213",3,"Red"
"7214",4,"Black"
"7215",5,"Red"
"7216",6,"Black"
"7217",7,"Blue"
"7218",8,"Black"
"7219",9,"Black"
"7220",10,"Black"
"7221",1,"Red"
"7222",2,"Black"
"7223",3,"Red"
"7224",4,"Black"
"7225",5,"Blue"
"7226",6,"Blue"
"7227",7,"Blue"
"7228",8,"Black"
"7229",9,"Red"
"7230",10,"Blue"
"7231",1,"Blue"
"7232",2,"Red"
"7233",3,"Red"
"7234",4,"Black"
"7235",5,"Blue"
"7236",6,"Blue"
"7237",7,"Black"
"7238",8,"Blue"
"7239",9,"Red"
"7240",10,"Blue"
"7241",1,"Blue"
"7242",2,"Black"
"7243",3,"Black"
"7244",4,"Black"
"7245",5,"Black"
"7246",6,"Blue"
"7247",7,"Red"
"7248",8,"Black"
"7249",9,"Red"
"7250",10,"Red"
"7251",1,"Blue"
"7252",2,"Black"
"7253",3,"Red"
"7254",4,"Red"
"7255",5,"Black"
"7256",6,"Black"
"7257",7,"Blue"
"7258",8,"Red"
"7259",9,"Blue"
"7260",10,"Black"
"7261",1,"Blue"
"7262",2,"Red"
"7263",3,"Blue"
"7264",4,"Red"
"7265",5,"Blue"
"7266",6,"Black"
"7267",7,"Black"
"7268",8,"Blue"
"7269",9,"Blue"
"7270",10,"Black"
"7271",1,"Red"
"7272",2,"Blue"
"7273",3,"Black"
"7274",4,"Blue"
"7275",5,"Black"
"7276",6,"Black"
"7277",7,"Blue"
"7278",8,"Blue"
"7279",9,"Black"
"7280",10,"Red"
"7281",1,"Black"
"7282",2,"Red"
"7283",3,"Black"
"7284",4,"Black"
"7285",5,"Black"
"7286",6,"Blue"
"7287",7,"Blue"
"7288",8,"Black"
"7289",9,"Red"
"7290",10,"Blue"
"7291",1,"Red"
"7292",2,"Blue"
"7293",3,"Black"
"7294",4,"Black"
"7295",5,"Black"
"7296",6,"Blue"
"7297",7,"Black"
"7298",8,"Red"
"7299",9,"Black"
"7300",10,"Blue"
"7301",1,"Black"
"7302",2,"Black"
"7303",3,"Red"
"7304",4,"Red"
"7305",5,"Red"
"7306",6,"Blue"
"7307",7,"Black"
"7308",8,"Blue"
"7309",9,"Red"
"7310",10,"Red"
"7311",1,"Red"
"7312",2,"Black"
"7313",3,"Blue"
"7314",4,"Black"
"7315",5,"Red"
"7316",6,"Black"
"7317",7,"Blue"
"7318",8,"Black"
"7319",9,"Red"
"7320",10,"Red"
"7321",1,"Black"
"7322",2,"Black"
"7323",3,"Red"
"7324",4,"Blue"
"7325",5,"Blue"
"7326",6,"Black"
"7327",7,"Black"
"7328",8,"Black"
"7329",9,"Blue"
"7330",10,"Red"
"7331",1,"Blue"
"7332",2,"Black"
"7333",3,"Black"
"7334",4,"Black"
"7335",5,"Red"
"7336",6,"Black"
"7337",7,"Blue"
"7338",8,"Blue"
"7339",9,"Black"
"7340",10,"Black"
"7341",1,"Black"
"7342",2,"Blue"
"7343",3,"Black"
"7344",4,"Black"
"7345",5,"Red"
"7346",6,"Black"
"7347",7,"Black"
"7348",8,"Black"
"7349",9,"Black"
"7350",10,"Red"
"7351",1,"Blue"
"7352",2,"Red"
"7353",3,"Black"
"7354",4,"Blue"
"7355",5,"Black"
"7356",6,"Red"
"7357",7,"Blue"
"7358",8,"Red"
"7359",9,"Blue"
"7360",10,"Black"
"7361",1,"Blue"
"7362",2,"Black"
"7363",3,"Black"
"7364",4,"Red"
"7365",5,"Black"
"7366",6,"Black"
"7367",7,"Red"
"7368",8,"Blue"
"7369",9,"Black"
"7370",10,"Blue"
"7371",1,"Blue"
"7372",2,"Blue"
"7373",3,"Blue"
"7374",4,"Red"
"7375",5,"Blue"
"7376",6,"Blue"
"7377",7,"Red"
